['00279c60', 'Program:MainProgram', '00279ed0', '0027a040', 'controller', 'Program', [], [], '00f55b3c']
['00279c7c', 'Map:Local', '0027eac4', '0027a068', 'controller', 'Others', [], [], '00f55b3c']
['00279c90', 'Program:PROG_2', '00279d64', '0027a090', 'controller', 'Program', [], [], '00f55b3c']
['00279ca8', 'Local:5:I', '0c004018', '0027a0b8', 'controller', [], [], [], '00f55b3c']
['00279cbc', 'Local:5:O', '0c004064', '0027a0e0', 'controller', [], [], [], '00f55b3c']
['00279cd0', 'Map:fifth_module', '002797d8', '0027a108', 'controller', 'Others', [], [], '00f55b3c']
['00279cec', 'Map:ENBT', '00279838', '0027a130', 'controller', 'Others', [], [], '00f55b3c']
['00279d00', 'Local:5:C', '00080150', '0027a158', 'controller', 'IO_TAG', '20', ['1c', '0', '0', '0', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00279d14', 'Task:MainTask', '00278870', '0027a180', 'controller', 'Others', [], [], '00f55b3c']
['00279d2c', 'TAG_1_CONT', '00080188', '0027a1a8', 'controller', 'IO_TAG', '4', ['0', '41', '0', '0'], '00f55b3c']
['00279d40', 'Cxn:Standard:0dddcd3c', '0c07ae38', '0027a1d0', 'controller', [], [], [], '00f55b3c']
['00279ae4', 'TAG_2_P_MAIN', '00080034', '00279b78', 'Program:MainProgram', 'IO_TAG', '4', ['0', '8', '0', '0'], '00f55b3c']
['00279afc', 'Routine:MainRoutine', '00279a20', '00279ba0', 'Program:MainProgram', 'Routine', [], [], '00f55b3c']
['00279b18', 'sdfsdfsdfs', '00080050', '00279bc8', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279b2c', 'TAG_4_MP', '00080018', '00279bf0', 'Program:MainProgram', 'IO_TAG', '2', ['0', '0'], '00f55b3c']
['00279b40', 'TAG_1_P_MAIN', '0008006c', '00279c18', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279b58', 'TAG_3_P_MAIN', '00080088', '00279c40', 'Program:MainProgram', 'IO_TAG', '4', ['1', '0', '0', '0'], '00f55b3c']
['0027995c', 'Routine:Routine1_PROG2', '00279898', '002799ac', 'Program:PROG_2', 'Routine', [], [], '00f55b3c']
['0027997c', 'TAG_1_PROG2', '000800c0', '002799d4', 'Program:PROG_2', 'IO_TAG', '4', ['46', '46', '46', '46'], '00f55b3c']
['00279990', 'TAG_2_PROG2', '000800a4', '002799fc', 'Program:PROG_2', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
