['0027a2dc', 'Program:MainProgram', '0027a328', '0027a498', 'controller', 'Program', [], [], '00f55b3c']
['0027a2f8', 'Map:Local', '0027eac4', '0027a4c0', 'controller', 'Others', [], [], '00f55b3c']
['0027a30c', 'Task:MainTask', '002791fc', '0027a4e8', 'controller', 'Others', [], [], '00f55b3c']
['0027a228', 'TAG1', '00080018', '0027a26c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['0027a238', 'Routine:MainRoutine', '0027a164', '0027a294', 'Program:MainProgram', 'Routine', [], [], '00f55b3c']
['0027a254', 'P_TAG_1', '00080034', '0027a2bc', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
