['00279e48', 'Program:MainProgram', '00279f20', '0027a090', 'controller', 'Program', [], [], '00f55b3c']
['00279e64', 'Map:Local', '0027eac4', '0027a0b8', 'controller', 'Others', [], [], '00f55b3c']
['00279e78', 'Local:5:I', '0c004018', '0027a0e0', 'controller', 'IO_TAG', '8', ['0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00279e8c', 'Local:5:O', '0c004064', '0027a108', 'controller', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279ea0', 'Map:fifth_module', '00279c20', '0027a130', 'controller', 'Others', [], [], '00f55b3c']
['00279ebc', 'Local:5:C', '000800e0', '0027a158', 'controller', 'IO_TAG', '20', ['1c', '0', '0', '0', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00279ed0', 'Task:MainTask', '00278cb8', '0027a180', 'controller', 'Others', [], [], '00f55b3c']
['00279ee8', 'TAG_1_CONT', '00080118', '0027a1a8', 'controller', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279efc', 'Cxn:Standard:0dddcd3c', '0c07ae38', '0027a1d0', 'controller', [], [], [], '00f55b3c']
['00279d44', 'TAG_2_P_MAIN', '00080018', '00279db0', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279d5c', 'Routine:MainRoutine', '00279c80', '00279dd8', 'Program:MainProgram', 'Routine', [], [], '00f55b3c']
['00279d78', 'TAG_1_P_MAIN', '00080034', '00279e00', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00279d90', 'TAG_3_P_MAIN', '00080050', '00279e28', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
